clase;edx.forum.response.created;edx.forum.thread.created;load_video;openassessment.upload_file;pause_video;play_video;problem_check;problem_graded;problem_show;seek_video;seq_goto;seq_next;seq_prev;stop_video
T;0;0;2;2;0;0;8;8;0;0;7;1;1;0
T;0;1;5;0;15;1354;9;9;6;5;11;0;1;0
T;0;0;1;0;0;0;6;6;0;0;3;0;0;0
T;0;0;17;0;19;52;34;34;2;31;4;0;0;8
T;0;0;1;1;0;0;25;25;5;0;4;0;0;0
T;0;1;7;1;5;7;12;12;1;1;27;1;2;5
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;8;1;5;14;9;9;3;3;6;3;1;1
F;0;0;1;0;0;0;5;5;2;0;6;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;2;1;1;7;40;40;2;4;7;0;0;0
F;0;0;1;0;2;2;6;6;4;0;0;0;0;0
T;0;0;4;3;6;8;11;11;0;0;11;1;2;1
F;0;0;0;0;0;0;0;0;0;0;16;8;5;0
T;0;0;21;1;9;94;57;57;3;21;13;11;5;2
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;1;7;1;10;22;27;26;6;7;14;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;2;0;0;0;0;0;0;0;0;0;0;0
T;4;2;17;1;22;5666;61;61;8;24;58;3;3;12
T;0;0;2;1;5;17;48;48;1;16;7;8;2;1
T;0;0;1;1;0;0;27;27;7;0;23;1;1;0
T;0;0;9;2;17;79;85;85;3;17;19;2;1;8
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;0;1;0;0;21;21;0;0;1;0;0;0
T;1;0;0;1;0;0;16;16;6;0;0;2;1;0
T;0;0;0;0;0;0;9;9;5;0;0;0;0;0
T;0;0;43;0;50;927;115;115;9;104;49;2;0;9
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;9;0;7;60;20;20;0;18;6;1;1;5
T;0;0;4;0;1;9;12;12;2;6;2;0;0;1
F;1;0;2;0;0;0;1;1;1;0;4;0;0;0
T;1;0;0;2;0;0;7;7;0;0;4;2;1;0
F;0;0;3;0;0;0;0;0;0;0;8;0;3;0
T;0;1;12;1;4;78;20;20;0;71;47;7;1;0
F;0;0;0;0;0;0;20;20;1;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;1;0;0;0;0;0;0;0;0;10;1;0
F;0;0;11;0;0;0;0;0;0;0;8;0;0;0
F;0;1;0;0;0;0;0;0;0;0;2;0;0;0
T;0;0;2;1;1;2;6;6;4;0;5;5;4;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;3;3;2;0;0;3;1;0
F;0;0;1;0;0;0;16;16;2;0;57;4;1;0
T;0;0;2;1;0;0;10;9;1;0;3;1;1;0
T;0;0;14;1;4;8;40;40;8;3;33;5;3;3
F;0;0;1;0;0;1;24;24;4;0;5;0;0;0
T;0;0;2;1;2;2;16;16;1;0;6;0;0;0
T;0;1;0;1;0;0;58;58;12;0;10;1;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;0;1;0;0;13;13;1;0;10;1;0;0
T;0;1;4;0;1;3;9;9;6;0;8;0;1;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;7;0;0;0
F;0;0;0;0;0;0;1;1;0;0;0;0;0;0
T;0;1;6;0;7;9;14;14;7;0;11;1;0;2
F;1;1;9;0;15;39;12;12;2;20;3;1;0;4
T;2;0;41;0;50;89;19;19;0;54;72;1;1;7
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;4;0;3;9;2;2;0;6;4;0;0;1
F;0;0;0;0;0;0;3;3;1;0;0;0;0;0
F;0;0;5;0;2;7;4;4;0;0;1;0;0;2
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;1;0;14;0;2;7;18;18;1;1;8;3;2;2
T;1;0;9;2;0;0;22;22;0;0;176;0;1;0
T;2;0;3;1;0;0;34;34;9;0;123;5;0;0
T;0;0;13;1;8;157;44;44;1;25;40;2;0;2
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;1;0;1;0;0;0;0;0;0;0;0;0;0;0
T;1;0;17;0;24;78;22;22;2;50;53;5;2;10
F;0;0;2;0;2;14;2;2;0;7;0;0;0;2
T;0;0;5;0;0;3;16;16;11;0;3;5;0;0
T;0;0;6;1;0;5;19;19;0;0;26;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;1;1;1;7;2;2;19;19;2;0;27;2;0;0
T;0;0;0;3;0;0;9;9;3;0;4;5;1;0
F;0;0;1;0;1;1;0;0;0;0;0;0;0;0
T;1;1;15;1;14;49;240;240;6;30;21;6;3;11
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;1;1;2;0;1;2;0;0;0;0;0;1;0;0
T;1;1;1;0;0;0;25;25;3;0;7;1;0;0
F;0;0;0;0;0;0;3;3;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;4;0;9;0;17;605;47;47;0;25;1;4;1;4
T;0;0;8;1;0;0;13;12;1;0;6;0;0;0
T;0;0;11;0;24;80;24;24;1;61;1;2;0;3
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;10;0;9;12;10;10;6;1;18;1;0;7
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;24;24;3;0;1;0;0;0
F;0;0;1;0;0;5;18;18;1;4;37;5;1;0
T;0;0;25;1;6;28;15;15;0;10;28;3;1;2
F;0;0;0;0;0;0;0;0;0;0;1;0;0;0
T;0;0;9;2;35;51;19;19;1;21;4;3;0;2
F;0;0;0;0;0;0;0;0;0;0;2;0;0;0
F;0;0;2;0;14;18;24;24;1;7;2;0;0;2
F;0;0;0;0;0;0;12;12;2;0;1;0;0;0
T;0;0;20;1;17;39;47;47;4;23;2;5;3;8
T;0;0;3;1;2;3;42;42;2;0;0;1;0;1
F;0;0;4;0;3;9;2;2;0;0;1;0;0;1
T;0;0;67;1;50;413;8;8;0;67;107;2;0;11
F;0;0;0;0;0;0;5;5;1;0;4;0;0;0
F;0;0;0;0;0;0;16;16;4;0;3;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;14;1;15;28;30;30;1;11;22;1;1;1
T;0;1;20;1;22;55;25;25;1;15;36;5;1;8
F;0;0;1;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;2;0;0;0
T;0;0;0;2;0;0;10;10;1;0;0;3;2;0
T;0;0;1;3;0;2;12;12;3;1;0;5;3;0
F;0;0;2;0;0;1;5;5;2;0;9;1;0;0
F;1;0;1;0;13;13;0;0;0;3;0;0;0;0
T;7;0;16;0;24;71;22;22;5;26;4;1;1;10
T;3;6;20;2;115;140;19;19;1;35;37;1;0;4
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;10;1;3;11;24;24;2;4;3;1;0;1
F;0;0;0;0;0;0;3;2;0;0;1;3;0;0
T;0;1;19;0;41;64;31;31;9;22;60;3;2;6
T;0;0;4;0;2;10;26;26;3;5;0;2;0;1
F;0;0;10;0;22;233;6;6;1;8;1;2;0;1
T;0;0;7;0;5;9;69;68;1;3;0;0;0;3
F;0;0;12;0;7;18;18;18;5;10;16;4;3;4
F;0;0;2;0;0;0;0;0;0;0;0;0;0;0
T;0;0;0;1;0;0;16;16;8;0;6;0;1;0
F;0;0;1;0;0;0;15;15;1;0;0;0;0;0
F;0;0;0;0;0;0;24;24;2;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;1;0;3;5;1;1;2;1;2;0;0;0
T;0;0;4;0;2;6;24;24;4;1;4;0;0;1
F;0;0;2;0;3;3;0;0;0;0;0;1;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;2;1;0;0;13;13;2;0;0;2;0;0
T;0;0;1;0;0;1;7;7;4;0;2;1;1;0
F;0;0;10;0;10;59;12;12;0;11;4;0;0;0
T;0;1;13;1;20;35;27;27;4;10;41;1;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;2;18;1;9;18;18;18;0;1;15;3;0;6
T;0;0;10;2;7;31;19;19;2;18;19;3;1;2
T;0;0;19;1;12;168;62;62;1;36;19;5;3;2
F;0;0;3;0;1;1;2;2;0;0;5;0;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;1;0;0;4;6;6;7;3;17;1;0;0
T;5;0;8;1;6;25;6;6;0;14;0;3;2;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;2;1;0;1;61;61;4;0;5;8;5;0
F;0;0;5;0;0;0;0;0;0;0;9;8;5;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;1;1;0;0;0;0;0;0
T;0;1;19;1;5;413;40;39;7;50;15;4;0;3
T;0;1;6;1;7;7;6;6;3;0;8;2;0;6
T;0;0;9;1;3;60;15;15;0;19;15;1;0;2
F;0;0;0;0;0;0;1;1;1;0;0;0;0;0
F;1;0;1;0;0;19;1;1;1;18;1;0;0;0
T;0;0;0;0;0;0;8;8;1;0;5;1;1;0
F;0;0;2;0;1;1;2;2;0;0;1;2;0;1
T;0;0;1;0;0;1;14;14;2;0;1;2;1;0
T;0;1;1;1;0;1;8;9;2;0;13;0;0;0
T;0;0;2;1;0;1;24;24;2;0;4;1;0;0
T;0;0;10;1;2;3;7;7;2;0;24;5;5;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;2;4;2;2;11;11;1;0;19;5;4;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;16;0;6;24;0;0;0;10;26;3;4;3
F;0;0;0;0;0;0;6;6;0;0;0;0;0;0
T;0;0;7;0;3;6;67;67;3;0;4;4;0;2
T;0;1;8;2;9;12;32;32;0;1;7;1;0;1
F;0;1;0;0;0;0;3;3;0;0;0;0;0;0
F;0;0;7;0;4;4;0;0;0;0;9;5;3;0
