edx.forum.response.created;edx.forum.thread.created;load_video;openassessment.upload_file;pause_video;play_video;problem_check;problem_graded;problem_show;seek_video;seq_goto;seq_next;seq_prev;stop_video
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;2;0;2;4;1;1;1;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;1;0;0
0;0;0;0;0;0;0;0;0;0;2;0;0;0
1;0;2;0;1;4;4;4;1;2;1;5;0;1
1;0;32;1;100;150;24;24;1;16;39;5;2;9
1;0;12;1;6;48;16;16;8;37;27;1;1;0
0;0;6;0;0;0;2;2;1;0;8;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;11;11;5;0;0;0;0;0
0;0;6;3;0;3;24;24;11;0;11;2;0;0
0;0;1;0;1;2;12;11;2;0;0;0;0;1
0;0;1;0;0;1;2;2;1;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;10;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;5;6;6;1;4;3;0;0;0
0;0;0;0;0;0;28;28;0;0;20;4;0;0
1;0;1;0;0;2;0;0;0;0;0;0;0;0
0;0;0;0;0;0;12;12;2;0;1;0;0;0
2;0;0;4;0;0;20;20;7;0;10;0;1;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;8;0;19;25;37;37;0;6;3;3;0;9
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;3;0;2;8;0;0;0;1;0;2;0;1
0;0;3;0;1;1;8;8;6;0;1;0;0;1
0;0;0;0;0;0;2;2;2;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;6;0;12;26;27;27;0;10;3;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;4;4;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;0;0;10;10;3;0;5;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;25;0;33;48;43;43;0;9;0;0;0;10
0;0;0;0;0;0;6;6;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;21;0;27;49;6;5;0;19;34;0;0;6
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;2;0;1;16;17;16;1;13;0;1;0;0
0;0;0;0;0;0;19;19;0;0;0;2;0;0
1;1;25;1;65;207;22;22;3;49;33;7;1;8
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;1;0;0;8;8;0;0;0;2;2;0
0;0;6;1;1;37;11;11;0;35;5;4;0;0
1;0;10;1;139;148;17;17;0;13;17;2;0;3
3;0;5;0;8;30;7;7;0;18;4;8;4;0
0;0;2;0;0;1;6;6;1;0;0;0;0;0
0;0;5;2;0;2;13;13;3;1;25;5;2;0
2;1;27;1;20;36;17;17;8;10;50;2;0;10
1;0;0;1;0;0;8;8;0;0;6;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;8;0;8;23;8;8;0;12;11;2;0;2
1;2;9;3;12;61;20;20;1;5;22;0;1;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;2;1;0;0;10;10;0;0;19;2;1;0
